institution_id,inspection_date,institution_type,status,infrastructure_score,faculty_score,student_performance_score,compliance_level,overall_score
59,2024-07-27 16:47:46.632345,Management,Scheduled,0.5240714179891768,0.843101073238261,0.7338787824092932,Partially Compliant,0.6454996947823315
60,2024-02-07 16:47:46.632347,Applied Arts and Crafts,Completed,0.9514474975959937,0.6981409256664844,0.6151729491721548,Fully Compliant,0.9344795525104481
61,2024-06-11 16:47:46.632348,Pharmacy,Scheduled,0.9261319371955907,0.6230928636900469,0.9468035140471784,Partially Compliant,0.952226405781247
62,2024-07-12 16:47:46.632350,Pharmacy,Scheduled,0.8339023416132032,0.7564131476509595,0.41256047069603996,Fully Compliant,0.5003738541852656
63,2023-09-06 16:47:46.632352,Pharmacy,In Progress,0.7966107850536921,0.6936813483705336,0.5894638907496976,Fully Compliant,0.7970681957387756
64,2024-08-29 16:47:46.632353,Pharmacy,In Progress,0.9461512490698261,0.6878215692919207,0.43412883866658797,Non-Compliant,0.8596503045125568
65,2024-07-08 16:47:46.632355,Management,In Progress,0.5926650897643573,0.9839451210853821,0.8599163897329763,Fully Compliant,0.8093734912288031
66,2024-05-17 16:47:46.632357,Architecture,In Progress,0.5394845810954143,0.8465201943702896,0.8212644724682756,Partially Compliant,0.540839882433177
67,2023-12-15 16:47:46.632358,Applied Arts and Crafts,Completed,0.619755084954769,0.8227513772688384,0.5988113312417902,Non-Compliant,0.6088624493994511
68,2023-10-26 16:47:46.632360,Engineering,Completed,0.8972891393500951,0.7663100414093288,0.8053977413242438,Partially Compliant,0.625170133690693
69,2024-02-22 16:47:46.632362,Architecture,In Progress,0.5173351333632417,0.7715777333720577,0.6375623357175699,Fully Compliant,0.9158623156525448
70,2024-01-26 16:47:46.632363,Pharmacy,Completed,0.7914034175417448,0.8163620015352323,0.8537522748534606,Partially Compliant,0.7315997181544602
71,2024-07-18 16:47:46.632365,Architecture,In Progress,0.997718758095655,0.8785719228144429,0.6725101976420237,Partially Compliant,0.7434141059706184
72,2024-03-22 16:47:46.632366,Applied Arts and Crafts,Scheduled,0.9278480469187698,0.8808584384727318,0.6473678366989993,Fully Compliant,0.9674465232772542
73,2024-02-11 16:47:46.632368,Engineering,Scheduled,0.7607228445217947,0.6686775630821798,0.9608379492929806,Non-Compliant,0.8185429444273578
74,2023-12-05 16:47:46.632370,Engineering,Scheduled,0.5318204546433212,0.8000451008306508,0.5505274599344202,Partially Compliant,0.9493338507763319
75,2023-09-15 16:47:46.632372,Applied Arts and Crafts,In Progress,0.9156867571928549,0.7647832380136408,0.4722684039979393,Fully Compliant,0.7282544276707665
76,2023-11-01 16:47:46.632373,Applied Arts and Crafts,Scheduled,0.7994892540886053,0.9482107865077537,0.7507258679556749,Non-Compliant,0.5747181292591471
77,2023-12-04 16:47:46.632375,Pharmacy,Completed,0.5574664985297835,0.8525675684873506,0.9815930873705073,Non-Compliant,0.9649677970370428
78,2024-01-29 16:47:46.632377,Engineering,Scheduled,0.5469286424116782,0.8130016265663927,0.626703528236312,Non-Compliant,0.7293525578337692
79,2023-12-23 16:47:46.632378,Architecture,Scheduled,0.9548134097182962,0.6461578568715669,0.43722205817726895,Partially Compliant,0.590815710939411
80,2024-02-23 16:47:46.632380,Management,Scheduled,0.8346001314690392,0.8422551557293646,0.6035831603857404,Partially Compliant,0.6511978701519612
81,2023-11-09 16:47:46.632382,Management,Completed,0.9146433996583778,0.6468815622720934,0.703558992591735,Partially Compliant,0.5254012948444711
82,2024-01-31 16:47:46.632383,Applied Arts and Crafts,In Progress,0.9394894501411337,0.7348826302263008,0.49715380397932823,Non-Compliant,0.7341502957281926
83,2024-02-05 16:47:46.632385,Pharmacy,Completed,0.7858861760241611,0.6571367859257328,0.7948613308338952,Partially Compliant,0.9265640859551183
84,2024-01-07 16:47:46.632387,Management,In Progress,0.7587231758775206,0.8768294588097476,0.9986496334061203,Fully Compliant,0.9667902280033447
85,2023-09-28 16:47:46.632388,Engineering,In Progress,0.7152137051604951,0.682500845534461,0.6710436855888663,Partially Compliant,0.9663011037518219
86,2024-07-09 16:47:46.632390,Applied Arts and Crafts,Scheduled,0.6584732938955596,0.7567437492752104,0.6128371340381276,Partially Compliant,0.5626150128143734
87,2023-11-25 16:47:46.632391,Architecture,In Progress,0.7172979804293559,0.9582699110475115,0.64042250010068,Non-Compliant,0.6910269412555285
88,2024-01-27 16:47:46.632393,Applied Arts and Crafts,Completed,0.8869398278650782,0.6817265533595881,0.4690877070371207,Partially Compliant,0.5141143798253531
89,2023-12-23 16:47:46.632394,Architecture,Completed,0.8009617155075658,0.8031220255835116,0.9299641608557343,Fully Compliant,0.9275826724857363
90,2024-02-25 16:47:46.632396,Applied Arts and Crafts,In Progress,0.946261644977423,0.7677086644664087,0.6488953933128112,Non-Compliant,0.6793778810106369
91,2024-07-21 16:47:46.632398,Applied Arts and Crafts,Scheduled,0.7216900071895939,0.6072496164182919,0.6323646468549048,Fully Compliant,0.8155585139461174
92,2024-03-27 16:47:46.632399,Applied Arts and Crafts,Scheduled,0.803544789359377,0.9171032454291251,0.7958141637582846,Non-Compliant,0.8574492190386442
93,2024-08-16 16:47:46.632401,Architecture,Completed,0.8156537765459944,0.6276183625258399,0.6652200525586741,Non-Compliant,0.7149223348715776
94,2023-11-04 16:47:46.632403,Architecture,Scheduled,0.7958485811531628,0.7897020083907814,0.7889400812847076,Partially Compliant,0.6532211682751214
95,2024-06-27 16:47:46.632404,Applied Arts and Crafts,In Progress,0.8513168865427582,0.82427131797558,0.43686777407847255,Fully Compliant,0.9811064550579723
96,2023-09-21 16:47:46.632406,Management,In Progress,0.6187167341874031,0.8513705826458349,0.8882340062333365,Non-Compliant,0.9822441125119271
97,2023-10-09 16:47:46.632407,Pharmacy,Completed,0.7561818887728953,0.8754526517231502,0.9643023717276415,Partially Compliant,0.6447181840150109
98,2024-08-22 16:47:46.632409,Pharmacy,In Progress,0.5521124014041738,0.701308953409086,0.7892592316956316,Non-Compliant,0.7398125483722291
99,2023-09-22 16:47:46.632411,Pharmacy,Completed,0.6922556638224062,0.6039915106633797,0.9727395573152865,Non-Compliant,0.9864220793300111
100,2024-04-24 16:47:46.632412,Architecture,In Progress,0.7438335343106321,0.8893774649419648,0.490859388621978,Non-Compliant,0.5024342038277516
101,2024-04-17 16:47:46.632414,Architecture,Completed,0.8261121297727363,0.8142626397390315,0.6864497136882123,Non-Compliant,0.7063391241895747
102,2024-06-29 16:47:46.632415,Management,Scheduled,0.9752655262931018,0.9344470812828995,0.7610840403672684,Non-Compliant,0.5502287748404842
103,2024-04-14 16:47:46.632417,Pharmacy,In Progress,0.8003255332741779,0.9285553451602777,0.749041988452712,Non-Compliant,0.7545789827813013
104,2024-06-11 16:47:46.632418,Pharmacy,In Progress,0.8717969580882798,0.9373304671151532,0.640877067453426,Partially Compliant,0.5123349772702436
105,2024-03-21 16:47:46.632420,Applied Arts and Crafts,Completed,0.7531330297476013,0.7940378639918161,0.6028506456197569,Non-Compliant,0.7034492156953139
106,2023-11-16 16:47:46.632422,Architecture,Completed,0.8170520156881657,0.7334513583347463,0.4760944135302513,Fully Compliant,0.6103495373926675
107,2023-12-14 16:47:46.632423,Pharmacy,In Progress,0.5354661080668868,0.916623281036548,0.6350454703373669,Partially Compliant,0.7666541812293703
108,2024-01-13 16:47:46.632425,Management,Completed,0.6271957904209235,0.780517645211702,0.4975964890632911,Fully Compliant,0.9979968245503499
109,2024-07-21 16:47:46.632427,Management,In Progress,0.6809265466025693,0.6733768785613737,0.840619405895331,Non-Compliant,0.9002680525633738
110,2024-08-03 16:47:46.632428,Pharmacy,Scheduled,0.7362466775032568,0.9419896078245897,0.525298561296754,Fully Compliant,0.9228210458122107
111,2024-04-18 16:47:46.632430,Architecture,Completed,0.5228243727511919,0.9530239507089389,0.4351391831707203,Non-Compliant,0.8176324936795405
112,2024-02-12 16:47:46.632432,Management,In Progress,0.5700120487766589,0.7865239024560681,0.7314196826903406,Non-Compliant,0.5207799241361293
113,2023-10-08 16:47:46.632433,Applied Arts and Crafts,Scheduled,0.6384071538956528,0.630279890923915,0.7571378396316409,Partially Compliant,0.6033988380220721
114,2023-12-07 16:47:46.632435,Management,Scheduled,0.9857663454505253,0.7551304359667724,0.9231478367683033,Partially Compliant,0.9625322782235275
115,2024-07-29 16:47:46.632436,Engineering,In Progress,0.6656735035515253,0.9214150637850413,0.7461889674506091,Non-Compliant,0.6830565589643756
116,2024-07-14 16:47:46.632438,Engineering,Completed,0.7410205290560412,0.9607096114184914,0.6072885122340674,Partially Compliant,0.5518183632403978
117,2024-06-30 16:47:46.632439,Architecture,In Progress,0.5980488563691965,0.6813890969990383,0.8818071289157923,Fully Compliant,0.851202682933101
118,2024-01-28 16:47:46.632441,Pharmacy,Scheduled,0.8053900355378841,0.6267894448101086,0.7241673359124526,Partially Compliant,0.6497288619671273
119,2023-11-12 16:47:46.632443,Architecture,In Progress,0.6403416077579871,0.9509401812531355,0.4475681707787151,Partially Compliant,0.6344284564520859
120,2024-05-24 16:47:46.632444,Architecture,Completed,0.6034962892192134,0.7557619755915501,0.739510336187948,Fully Compliant,0.9989887277791302
121,2024-03-12 16:47:46.632446,Architecture,Scheduled,0.7582863142229895,0.8167043857070253,0.9448111272529974,Partially Compliant,0.9290694625133271
122,2023-09-06 16:47:46.632447,Architecture,In Progress,0.5027528995802104,0.9872263248203036,0.6377875752989324,Non-Compliant,0.7039689091839205
123,2024-01-30 16:47:46.632449,Applied Arts and Crafts,Completed,0.5038320163246126,0.6266258911656891,0.5777954811398801,Fully Compliant,0.9901306039082496
124,2024-07-27 16:47:46.632451,Applied Arts and Crafts,Scheduled,0.6095344045509289,0.8593272029808382,0.48608167421081205,Non-Compliant,0.8250566117096068
125,2024-01-17 16:47:46.632452,Management,Completed,0.5183606812504106,0.6296421690299469,0.4908673131612144,Fully Compliant,0.8710112259398801
126,2024-05-22 16:47:46.632454,Engineering,Scheduled,0.5540128770653456,0.7501875713866001,0.6596628906050913,Non-Compliant,0.5157565215411057
127,2024-04-22 16:47:46.632455,Architecture,In Progress,0.6694303246693758,0.9215258180773787,0.7574078944969177,Non-Compliant,0.5608026296740285
128,2023-12-18 16:47:46.632457,Management,Completed,0.9012928397899065,0.7733888931022538,0.4483692431017611,Partially Compliant,0.8165425632481191
129,2024-08-26 16:47:46.632458,Engineering,Scheduled,0.7860243216846504,0.9988729415611801,0.9637411534150995,Non-Compliant,0.949511991324742
130,2024-01-26 16:47:46.632460,Pharmacy,Completed,0.7563338629782081,0.8236237139786409,0.8530801704671176,Partially Compliant,0.8118718630437978
131,2023-12-20 16:47:46.632462,Applied Arts and Crafts,Completed,0.6467444116040608,0.7284648610543814,0.7519743509701976,Fully Compliant,0.567012447159496
132,2023-09-07 16:47:46.632463,Engineering,In Progress,0.9658768597164082,0.6880445303619013,0.8970632025633944,Non-Compliant,0.5578800231231623
133,2023-11-22 16:47:46.632465,Pharmacy,Completed,0.6985075206185958,0.7402082137144647,0.448112054087268,Non-Compliant,0.9220929479120408
134,2024-02-06 16:47:46.632466,Engineering,Scheduled,0.5435463833978857,0.7490133095038203,0.6861033266398746,Fully Compliant,0.5696511693539572
135,2024-08-16 16:47:46.632468,Applied Arts and Crafts,Scheduled,0.8085332580589006,0.6274854710895844,0.778055876116998,Fully Compliant,0.7601159802520128
136,2023-09-20 16:47:46.632470,Applied Arts and Crafts,Scheduled,0.5569191967383007,0.7478296797707092,0.8971917436709735,Non-Compliant,0.5185566599811511
137,2024-07-20 16:47:46.632471,Management,Scheduled,0.672611571400846,0.7856954078956899,0.8700817360295606,Fully Compliant,0.5403348836955887
138,2024-03-05 16:47:46.632473,Architecture,In Progress,0.7537059693589044,0.8890951008955219,0.5662415498280398,Partially Compliant,0.8361741338214324
139,2024-06-29 16:47:46.632474,Engineering,Completed,0.9371112623425879,0.8626917938886431,0.9645281017355226,Fully Compliant,0.8445907052137583
140,2023-09-14 16:47:46.632476,Engineering,In Progress,0.7467732901700593,0.8835062620916617,0.4746075048585222,Fully Compliant,0.6707347033042212
141,2024-01-13 16:47:46.632477,Pharmacy,Completed,0.8511293830158322,0.6033454727507428,0.9250801711726913,Non-Compliant,0.6078048826215223
142,2024-01-03 16:47:46.632479,Applied Arts and Crafts,Completed,0.9964084194995352,0.6870669598322144,0.9825641497627712,Partially Compliant,0.906855135378654
143,2024-07-10 16:47:46.632480,Engineering,Completed,0.5657445599489908,0.8646737153599426,0.5062921139335753,Fully Compliant,0.6085516147349452
144,2024-05-27 16:47:46.632482,Applied Arts and Crafts,In Progress,0.6373657627597598,0.7935957472718989,0.8332396385222711,Partially Compliant,0.7710135348331899
145,2024-01-22 16:47:46.632484,Engineering,Completed,0.6972880377988232,0.6021253902673384,0.4241713112667991,Partially Compliant,0.9841044204314527
146,2024-01-13 16:47:46.632485,Management,In Progress,0.7109140892694157,0.921797856972729,0.643253695083493,Partially Compliant,0.5739262189311919
147,2024-01-07 16:47:46.632487,Architecture,Scheduled,0.7055105376327728,0.909123829316135,0.7097699795186044,Non-Compliant,0.9704381337473544
148,2024-04-10 16:47:46.632488,Engineering,Scheduled,0.9538055012782775,0.8193676651974251,0.7483871355457804,Fully Compliant,0.5914465265343343
149,2024-03-13 16:47:46.632490,Applied Arts and Crafts,Completed,0.8570163222334282,0.6265853303105088,0.9615623489491357,Non-Compliant,0.7837216040116148
150,2024-08-02 16:47:46.632491,Management,In Progress,0.8039526070453519,0.9066060198130339,0.8033504123765168,Fully Compliant,0.6885038559793724
151,2024-07-26 16:47:46.632493,Engineering,Scheduled,0.654686358931391,0.8334854350925456,0.6887667707315422,Fully Compliant,0.982464300750913
152,2024-08-18 16:47:46.632495,Pharmacy,In Progress,0.9118951921106473,0.9127839908631836,0.8858050217595336,Non-Compliant,0.6367710145009684
153,2024-03-24 16:47:46.632496,Architecture,In Progress,0.9775302557424945,0.9006987969583362,0.9703196925726454,Partially Compliant,0.6998290010428768
154,2023-10-09 16:47:46.632498,Engineering,Completed,0.9105991412751133,0.9212008287831348,0.41323968920937454,Partially Compliant,0.9914300589277103
155,2024-02-26 16:47:46.632499,Management,Scheduled,0.5007825525957365,0.80720322656185,0.9895127633536233,Fully Compliant,0.7682351955942366
156,2024-01-01 16:47:46.632501,Pharmacy,Completed,0.8182006850917035,0.656129807277406,0.45167928343820823,Non-Compliant,0.7513150578106267
157,2024-06-06 16:47:46.632502,Management,Completed,0.5255676907210504,0.8684629893518755,0.8886320675612568,Partially Compliant,0.6288892441019956
158,2023-11-21 16:47:46.632504,Management,Scheduled,0.6288036101668609,0.8481895140207882,0.5682008515308475,Partially Compliant,0.8506817801552207
159,2024-06-26 16:47:46.632505,Pharmacy,Scheduled,0.5297623501738858,0.8969012748796349,0.4793077946523231,Fully Compliant,0.5071864758888889
160,2024-03-14 16:47:46.632507,Management,In Progress,0.8018977264746938,0.6679524024202941,0.663913383828301,Fully Compliant,0.5247563148511467
161,2024-07-17 16:47:46.632509,Pharmacy,Scheduled,0.8432949567463034,0.6779900799601156,0.7863739476685682,Non-Compliant,0.7996792935679014
162,2024-06-30 16:47:46.632510,Engineering,In Progress,0.5572438190329525,0.9561638068877314,0.628571107014085,Fully Compliant,0.6708372869092271
163,2024-04-19 16:47:46.632512,Pharmacy,In Progress,0.6919194415224897,0.8999911193808283,0.4327392449696194,Partially Compliant,0.9766581861004803
164,2023-11-21 16:47:46.632513,Pharmacy,In Progress,0.728118254477771,0.9632913954801292,0.75967668379523,Partially Compliant,0.9515953453613928
165,2024-08-03 16:47:46.632515,Architecture,Scheduled,0.6845265108804583,0.9034861284655683,0.9414419656664048,Partially Compliant,0.8568531293383537
166,2024-05-15 16:47:46.632516,Pharmacy,Completed,0.5605125002425966,0.8388621223961208,0.629929219568351,Partially Compliant,0.9090727905639007
167,2024-07-18 16:47:46.632518,Pharmacy,In Progress,0.7094738950937377,0.8616530948111495,0.5297996665784962,Non-Compliant,0.8336659248338467
168,2023-09-26 16:47:46.632519,Engineering,Completed,0.875589023904209,0.9556511695760039,0.6655464075596893,Non-Compliant,0.5627910513550803
169,2023-11-19 16:47:46.632521,Architecture,Completed,0.5355038322666277,0.8315227018047762,0.42901762662926857,Fully Compliant,0.8827716848446013
170,2023-10-05 16:47:46.632523,Applied Arts and Crafts,Scheduled,0.5400900070409518,0.8529565297313549,0.8922925506881649,Fully Compliant,0.6050959843594232
171,2024-04-25 16:47:46.632524,Engineering,Completed,0.6773856459179921,0.6625906864014403,0.895804486570112,Fully Compliant,0.6617214275500984
172,2023-09-18 16:47:46.632526,Engineering,Completed,0.9708628558094625,0.7895684880464411,0.752800278057777,Non-Compliant,0.9096171060512102
173,2024-01-13 16:47:46.632527,Applied Arts and Crafts,Scheduled,0.834286323361457,0.8865588447832395,0.6118617333630337,Partially Compliant,0.7682628041967241
174,2024-02-23 16:47:46.632529,Pharmacy,In Progress,0.8393349783362825,0.7083770793265461,0.87987001866747,Fully Compliant,0.9299703570917046
175,2024-01-19 16:47:46.632531,Management,Completed,0.6809599954189325,0.6809016722098139,0.7328122148730203,Partially Compliant,0.6065176599216321
176,2023-11-22 16:47:46.632533,Architecture,Scheduled,0.7968303956042693,0.7255307232897662,0.8955593851300098,Fully Compliant,0.8038892193034436
177,2024-05-02 16:47:46.632535,Management,Completed,0.5050655920138717,0.6966002511971333,0.7788752755498124,Fully Compliant,0.5418954862741308
178,2024-05-07 16:47:46.632536,Applied Arts and Crafts,Completed,0.8180480232047711,0.6859650548145583,0.8706432839276784,Fully Compliant,0.8215304967700148
179,2024-01-11 16:47:46.632538,Engineering,In Progress,0.9566434737881184,0.7699403371472348,0.759137795930656,Fully Compliant,0.8812670188877674
180,2023-12-16 16:47:46.632539,Engineering,Completed,0.8062867341724096,0.9631354055534136,0.6484846409293997,Fully Compliant,0.7924654469893608
181,2023-09-07 16:47:46.632541,Architecture,Scheduled,0.9368492967331725,0.8028238586954873,0.9747675159556826,Partially Compliant,0.6331157507494052
182,2024-02-15 16:47:46.632542,Engineering,Completed,0.861986527733047,0.6751681523261291,0.7246682949273069,Fully Compliant,0.5156713344294334
183,2024-04-16 16:47:46.632544,Engineering,In Progress,0.5602792082018451,0.6307886677523497,0.7630537111243231,Partially Compliant,0.5597244419821429
184,2023-10-18 16:47:46.632545,Architecture,In Progress,0.9512266536429208,0.8784624580551701,0.5322925836488496,Non-Compliant,0.8111514895370131
185,2024-03-19 16:47:46.632547,Architecture,Scheduled,0.5332219221778874,0.7531195057745551,0.7753904736563659,Fully Compliant,0.9672101084212569
186,2024-01-19 16:47:46.632548,Applied Arts and Crafts,In Progress,0.7669837362738818,0.9287323786341437,0.7429645896897663,Partially Compliant,0.6032672019860033
187,2023-10-29 16:47:46.632550,Engineering,Completed,0.5710685618967288,0.8638043074563081,0.510903038768215,Non-Compliant,0.8675130745525494
188,2024-01-10 16:47:46.632551,Engineering,In Progress,0.505853305365452,0.9184965802165475,0.43575225841188625,Non-Compliant,0.9332255316245208
189,2024-03-12 16:47:46.632553,Applied Arts and Crafts,Scheduled,0.7110171300638195,0.7087784157673794,0.7626155918288626,Non-Compliant,0.7604410892237555
190,2024-04-01 16:47:46.632554,Pharmacy,In Progress,0.6475203538270782,0.8769435689844233,0.8582153616101923,Partially Compliant,0.8346328979218289
