date,subdivision,certificate_type,processing_time,status
2024-08-25 12:58:45.717907,East,Marriage,8,Issued
2024-08-08 12:58:45.717955,South,Domicile,25,Issued
2024-08-30 12:58:45.718004,North,Birth,28,Pending
2024-08-11 12:58:45.718053,East,Domicile,27,Pending
2024-08-24 12:58:45.718102,West,Domicile,18,Issued
2024-08-10 12:58:45.718150,North,Death,29,Issued
2024-08-16 12:58:45.718199,South,Caste,5,Pending
2024-08-12 12:58:45.718248,East,Income,9,Issued
2024-08-11 12:58:45.718296,East,Income,12,Issued
2024-08-26 12:58:45.718345,Central,Domicile,20,Issued
2024-08-03 12:58:45.718394,North,Marriage,28,Issued
2024-08-14 12:58:45.718442,West,Marriage,1,Pending
2024-08-05 12:58:45.718491,North,Death,4,Pending
2024-08-04 12:58:45.718539,South,Birth,11,Rejected
2024-08-10 12:58:45.718588,East,Death,29,Pending
2024-08-07 12:58:45.718637,Central,Income,21,Rejected
2024-08-21 12:58:45.718686,South,Domicile,29,Pending
2024-08-18 12:58:45.718734,Central,Birth,5,Rejected
2024-08-04 12:58:45.718783,West,Domicile,21,Issued
2024-08-09 12:58:45.718832,South,Caste,25,Pending
2024-08-10 12:58:45.718881,South,Domicile,8,Issued
2024-08-16 12:58:45.718930,East,Death,20,Issued
2024-08-09 12:58:45.718979,South,Caste,28,Pending
2024-08-01 12:58:45.719029,Central,Marriage,11,Issued
2024-08-15 12:58:45.719078,Central,Birth,16,Pending
2024-08-03 12:58:45.719127,South,Caste,19,Rejected
2024-08-27 12:58:45.719176,East,Death,4,Issued
2024-08-18 12:58:45.719224,South,Caste,24,Pending
2024-08-15 12:58:45.719279,Central,Marriage,25,Issued
2024-08-24 12:58:45.719328,Central,Domicile,21,Pending
2024-08-03 12:58:45.719377,Central,Caste,10,Issued
2024-08-03 12:58:45.719425,West,Domicile,14,Issued
2024-08-30 12:58:45.719474,South,Income,8,Issued
2024-08-08 12:58:45.719523,North,Income,25,Pending
2024-08-27 12:58:45.719572,North,Caste,23,Issued
2024-08-15 12:58:45.719625,North,Death,6,Issued
2024-08-10 12:58:45.719682,East,Death,22,Rejected
2024-08-04 12:58:45.719732,South,Death,13,Issued
2024-08-01 12:58:45.719782,Central,Domicile,2,Pending
2024-08-06 12:58:45.719831,East,Marriage,3,Issued
2024-08-15 12:58:45.719879,Central,Income,26,Pending
2024-08-11 12:58:45.719927,North,Income,25,Issued
2024-08-18 12:58:45.719976,South,Caste,3,Pending
2024-08-09 12:58:45.720025,North,Caste,10,Pending
2024-08-16 12:58:45.720072,South,Caste,8,Issued
2024-08-22 12:58:45.720118,West,Birth,15,Pending
2024-08-07 12:58:45.720166,West,Caste,28,Issued
2024-08-25 12:58:45.720215,Central,Caste,13,Issued
2024-08-28 12:58:45.720262,North,Income,14,Rejected
2024-08-15 12:58:45.720311,East,Marriage,5,Rejected
2024-08-12 12:58:45.720472,East,Marriage,8,Issued
2024-08-14 12:58:45.720521,West,Death,28,Pending
2024-08-05 12:58:45.720570,South,Death,18,Issued
2024-08-19 12:58:45.720618,North,Marriage,22,Pending
2024-08-01 12:58:45.720666,Central,Income,17,Issued
2024-08-28 12:58:45.720716,Central,Domicile,18,Issued
2024-08-13 12:58:45.720764,East,Birth,19,Pending
2024-08-15 12:58:45.720812,West,Birth,27,Rejected
2024-08-07 12:58:45.720860,West,Birth,10,Issued
2024-08-28 12:58:45.720908,East,Birth,4,Issued
2024-08-11 12:58:45.720957,East,Death,3,Rejected
2024-08-28 12:58:45.721005,West,Birth,24,Pending
2024-08-20 12:58:45.721053,South,Birth,1,Issued
2024-08-19 12:58:45.721102,Central,Income,21,Issued
2024-08-13 12:58:45.721150,West,Birth,14,Issued
2024-08-15 12:58:45.721197,West,Income,20,Issued
2024-08-21 12:58:45.721245,West,Marriage,28,Issued
2024-08-14 12:58:45.721293,Central,Marriage,5,Issued
2024-08-08 12:58:45.721341,Central,Caste,11,Pending
2024-08-11 12:58:45.721389,East,Marriage,15,Pending
2024-08-07 12:58:45.721437,East,Death,18,Issued
2024-08-20 12:58:45.721485,Central,Income,27,Pending
2024-08-24 12:58:45.721534,South,Domicile,22,Issued
2024-08-16 12:58:45.721582,North,Birth,23,Issued
2024-08-13 12:58:45.721630,Central,Death,27,Issued
2024-08-03 12:58:45.721678,West,Income,1,Issued
2024-08-26 12:58:45.721726,North,Marriage,12,Pending
2024-08-04 12:58:45.721775,North,Birth,23,Issued
2024-08-09 12:58:45.721823,West,Domicile,23,Issued
2024-08-12 12:58:45.721873,West,Marriage,29,Issued
2024-08-19 12:58:45.721925,North,Income,19,Issued
2024-08-24 12:58:45.721973,South,Domicile,20,Issued
2024-08-09 12:58:45.722021,South,Domicile,24,Issued
2024-08-28 12:58:45.722069,East,Income,22,Pending
2024-08-24 12:58:45.722118,North,Marriage,8,Issued
2024-08-20 12:58:45.722168,West,Domicile,9,Issued
2024-08-14 12:58:45.722215,North,Income,8,Issued
2024-08-18 12:58:45.722264,North,Domicile,24,Rejected
2024-08-26 12:58:45.722310,North,Birth,19,Pending
2024-08-16 12:58:45.722358,East,Birth,21,Issued
2024-08-16 12:58:45.722405,East,Income,16,Issued
2024-08-06 12:58:45.722451,South,Caste,2,Issued
2024-08-23 12:58:45.722501,North,Birth,1,Issued
2024-08-20 12:58:45.722555,West,Income,7,Issued
2024-08-22 12:58:45.722604,Central,Birth,13,Issued
2024-08-29 12:58:45.722654,North,Domicile,27,Issued
2024-08-26 12:58:45.722703,North,Death,23,Pending
2024-08-03 12:58:45.722751,North,Marriage,19,Issued
2024-08-16 12:58:45.722799,South,Caste,13,Issued
2024-08-14 12:58:45.722849,South,Marriage,2,Pending
2024-08-10 12:58:45.722897,West,Marriage,22,Issued
2024-08-09 12:58:45.722946,North,Birth,17,Issued
2024-08-23 12:58:45.722994,Central,Income,16,Pending
2024-08-15 12:58:45.723042,South,Caste,24,Rejected
2024-08-23 12:58:45.723091,North,Income,3,Issued
2024-08-21 12:58:45.723139,North,Death,20,Rejected
2024-08-17 12:58:45.723187,Central,Birth,19,Pending
2024-08-09 12:58:45.723235,North,Birth,13,Pending
2024-08-10 12:58:45.723283,Central,Birth,3,Issued
2024-08-24 12:58:45.723330,North,Marriage,6,Issued
2024-08-18 12:58:45.723379,North,Death,8,Issued
2024-08-10 12:58:45.723427,North,Caste,9,Issued
2024-08-22 12:58:45.723475,West,Caste,3,Issued
2024-08-04 12:58:45.723523,West,Income,9,Pending
2024-08-26 12:58:45.723571,Central,Domicile,3,Issued
2024-08-02 12:58:45.723618,North,Income,23,Issued
2024-08-25 12:58:45.723666,North,Caste,11,Rejected
2024-08-23 12:58:45.723714,East,Birth,3,Pending
2024-08-19 12:58:45.723762,East,Death,19,Issued
2024-08-20 12:58:45.723810,Central,Income,2,Issued
2024-08-25 12:58:45.723858,Central,Income,13,Issued
2024-08-02 12:58:45.723907,South,Marriage,23,Pending
2024-08-13 12:58:45.723955,West,Caste,24,Pending
2024-08-10 12:58:45.724003,East,Caste,6,Issued
2024-08-04 12:58:45.724052,Central,Death,28,Pending
2024-08-11 12:58:45.724100,West,Marriage,10,Pending
2024-08-14 12:58:45.724148,South,Caste,10,Pending
2024-08-25 12:58:45.724197,East,Caste,15,Issued
2024-08-26 12:58:45.724244,East,Domicile,15,Pending
2024-08-19 12:58:45.724292,Central,Domicile,23,Pending
2024-08-09 12:58:45.724340,East,Death,27,Rejected
2024-08-14 12:58:45.724388,North,Marriage,23,Issued
2024-08-18 12:58:45.724436,Central,Marriage,21,Issued
2024-08-10 12:58:45.724484,South,Income,15,Pending
2024-08-09 12:58:45.724533,West,Caste,1,Issued
2024-08-19 12:58:45.724581,Central,Income,16,Issued
2024-08-25 12:58:45.724629,South,Domicile,16,Issued
2024-08-24 12:58:45.724783,Central,Caste,3,Issued
2024-08-13 12:58:45.724853,East,Caste,3,Issued
2024-08-05 12:58:45.724904,Central,Domicile,19,Issued
2024-08-05 12:58:45.724950,Central,Domicile,25,Issued
2024-08-21 12:58:45.725000,North,Marriage,27,Issued
2024-08-14 12:58:45.725044,East,Marriage,16,Issued
2024-08-05 12:58:45.725088,South,Caste,15,Issued
2024-08-30 12:58:45.725131,East,Income,25,Issued
2024-08-25 12:58:45.725173,Central,Caste,2,Pending
2024-08-03 12:58:45.725216,North,Income,28,Issued
2024-08-26 12:58:45.725259,West,Income,8,Issued
2024-08-18 12:58:45.725300,South,Death,6,Issued
2024-08-03 12:58:45.725348,West,Marriage,4,Pending
2024-08-23 12:58:45.725394,West,Income,27,Issued
2024-08-02 12:58:45.725432,East,Caste,22,Issued
2024-08-29 12:58:45.725473,North,Marriage,28,Pending
2024-08-13 12:58:45.725509,West,Domicile,2,Issued
2024-08-09 12:58:45.725547,South,Caste,21,Issued
2024-08-02 12:58:45.725588,West,Death,15,Pending
2024-08-07 12:58:45.725624,West,Marriage,23,Issued
2024-08-07 12:58:45.725661,Central,Caste,14,Issued
2024-08-09 12:58:45.725700,South,Death,6,Rejected
2024-08-15 12:58:45.725740,West,Birth,3,Pending
2024-08-17 12:58:45.725776,North,Birth,8,Pending
2024-08-03 12:58:45.725813,South,Birth,28,Pending
2024-08-14 12:58:45.725849,North,Domicile,11,Issued
2024-08-11 12:58:45.725884,South,Income,4,Issued
2024-08-30 12:58:45.725920,East,Income,9,Issued
2024-08-02 12:58:45.725959,Central,Domicile,21,Rejected
2024-08-15 12:58:45.725994,Central,Domicile,25,Issued
2024-08-20 12:58:45.726030,East,Marriage,3,Issued
2024-08-09 12:58:45.726065,South,Birth,6,Rejected
2024-08-07 12:58:45.726101,East,Marriage,22,Issued
2024-08-29 12:58:45.726136,East,Caste,5,Issued
2024-08-17 12:58:45.726172,Central,Caste,8,Issued
2024-08-29 12:58:45.726211,North,Death,12,Issued
2024-08-11 12:58:45.726248,South,Income,23,Issued
2024-08-12 12:58:45.726285,West,Marriage,1,Pending
2024-08-26 12:58:45.726321,South,Income,19,Issued
2024-08-27 12:58:45.726360,East,Domicile,8,Issued
2024-08-21 12:58:45.726397,North,Death,12,Pending
2024-08-17 12:58:45.726433,North,Marriage,14,Issued
2024-08-17 12:58:45.726468,South,Marriage,24,Issued
2024-08-25 12:58:45.726504,South,Marriage,24,Issued
2024-08-13 12:58:45.726541,West,Death,4,Issued
2024-08-10 12:58:45.726577,East,Marriage,13,Issued
2024-08-19 12:58:45.726613,West,Domicile,22,Issued
2024-08-06 12:58:45.726648,North,Caste,9,Issued
2024-08-13 12:58:45.726684,South,Income,9,Issued
2024-08-26 12:58:45.726722,Central,Birth,16,Pending
2024-08-08 12:58:45.726757,Central,Marriage,7,Pending
2024-08-07 12:58:45.726793,South,Caste,22,Rejected
2024-08-13 12:58:45.726832,South,Marriage,14,Issued
2024-08-06 12:58:45.726870,East,Caste,27,Issued
2024-08-28 12:58:45.726909,East,Income,7,Issued
2024-08-01 12:58:45.726944,East,Marriage,3,Rejected
2024-08-08 12:58:45.726983,East,Domicile,27,Issued
2024-08-26 12:58:45.727021,Central,Marriage,5,Issued
2024-08-23 12:58:45.727060,North,Birth,5,Issued
2024-08-23 12:58:45.727095,South,Death,26,Issued
2024-08-20 12:58:45.727138,South,Death,27,Issued
2024-08-30 12:58:45.727174,West,Birth,23,Issued
2024-08-29 12:58:45.727209,Central,Domicile,11,Pending
2024-08-09 12:58:45.727244,South,Income,26,Issued
2024-08-24 12:58:45.727282,North,Caste,13,Pending
2024-08-02 12:58:45.727319,East,Domicile,25,Issued
2024-08-24 12:58:45.727356,East,Marriage,24,Issued
2024-08-06 12:58:45.727391,East,Death,5,Rejected
2024-08-21 12:58:45.727426,North,Death,6,Issued
2024-08-17 12:58:45.727468,East,Marriage,1,Rejected
2024-08-13 12:58:45.727505,North,Birth,3,Pending
2024-08-13 12:58:45.727541,West,Marriage,22,Issued
2024-08-15 12:58:45.727579,South,Caste,12,Issued
2024-08-11 12:58:45.727617,North,Caste,5,Rejected
2024-08-28 12:58:45.727655,North,Domicile,24,Pending
2024-08-04 12:58:45.727692,East,Domicile,13,Issued
2024-08-03 12:58:45.727728,East,Domicile,19,Issued
2024-08-10 12:58:45.727765,North,Income,12,Issued
2024-08-17 12:58:45.727805,Central,Death,29,Issued
2024-08-15 12:58:45.727843,North,Caste,3,Pending
2024-08-28 12:58:45.727900,West,Birth,29,Pending
2024-08-03 12:58:45.727941,West,Birth,10,Pending
2024-08-30 12:58:45.727978,East,Death,13,Issued
2024-08-01 12:58:45.728014,East,Income,5,Issued
2024-08-11 12:58:45.728053,Central,Marriage,26,Issued
2024-08-08 12:58:45.728090,East,Birth,25,Issued
2024-08-17 12:58:45.728126,Central,Birth,13,Issued
2024-08-08 12:58:45.728161,West,Death,12,Issued
2024-08-20 12:58:45.728198,East,Marriage,17,Rejected
2024-08-06 12:58:45.728236,North,Marriage,3,Pending
2024-08-19 12:58:45.728275,South,Income,7,Issued
2024-08-27 12:58:45.728311,South,Death,18,Pending
2024-08-07 12:58:45.728349,East,Death,8,Rejected
2024-08-15 12:58:45.728388,South,Income,18,Issued
2024-08-15 12:58:45.728423,South,Domicile,22,Issued
2024-08-27 12:58:45.728458,South,Death,2,Pending
2024-08-08 12:58:45.728495,Central,Domicile,12,Issued
2024-08-12 12:58:45.728533,Central,Marriage,5,Issued
2024-08-09 12:58:45.728571,North,Marriage,8,Issued
2024-08-28 12:58:45.728607,East,Domicile,25,Issued
2024-08-01 12:58:45.728645,East,Income,26,Issued
2024-08-01 12:58:45.728683,South,Caste,2,Rejected
2024-08-06 12:58:45.728718,East,Death,20,Issued
2024-08-23 12:58:45.728754,East,Domicile,26,Issued
2024-08-09 12:58:45.728789,East,Domicile,6,Issued
2024-08-02 12:58:45.728826,West,Death,20,Issued
2024-08-13 12:58:45.728863,East,Death,29,Issued
2024-08-17 12:58:45.728898,East,Caste,5,Issued
2024-08-03 12:58:45.728936,South,Caste,19,Issued
2024-08-29 12:58:45.728973,East,Marriage,20,Pending
2024-08-01 12:58:45.729011,West,Domicile,15,Issued
2024-08-13 12:58:45.729046,West,Death,19,Pending
2024-08-27 12:58:45.729082,West,Caste,21,Pending
2024-08-29 12:58:45.729120,Central,Marriage,25,Pending
2024-08-13 12:58:45.729157,North,Domicile,4,Pending
2024-08-11 12:58:45.729195,North,Income,28,Pending
2024-08-05 12:58:45.729230,West,Domicile,9,Issued
2024-08-26 12:58:45.729268,West,Death,29,Issued
2024-08-21 12:58:45.729305,North,Income,20,Pending
2024-08-14 12:58:45.729338,North,Birth,14,Issued
2024-08-19 12:58:45.729370,North,Marriage,16,Issued
2024-08-23 12:58:45.729411,West,Domicile,19,Rejected
2024-08-21 12:58:45.729446,South,Domicile,7,Issued
2024-08-02 12:58:45.729480,North,Birth,23,Issued
2024-08-12 12:58:45.729511,West,Birth,26,Rejected
2024-08-01 12:58:45.729542,South,Domicile,21,Issued
2024-08-08 12:58:45.729578,East,Income,10,Pending
2024-08-10 12:58:45.729610,North,Death,13,Pending
2024-08-13 12:58:45.729644,South,Birth,7,Pending
2024-08-05 12:58:45.729699,East,Domicile,18,Pending
2024-08-10 12:58:45.729779,East,Caste,6,Issued
2024-08-09 12:58:45.729826,West,Income,24,Issued
2024-08-29 12:58:45.729867,West,Death,20,Issued
2024-08-28 12:58:45.729909,Central,Birth,12,Issued
2024-08-16 12:58:45.729948,Central,Death,5,Pending
2024-08-09 12:58:45.729982,Central,Caste,3,Issued
2024-08-19 12:58:45.730014,West,Birth,1,Issued
2024-08-29 12:58:45.730049,Central,Marriage,3,Pending
2024-08-24 12:58:45.730084,South,Death,3,Issued
2024-08-14 12:58:45.730122,West,Birth,1,Issued
2024-08-02 12:58:45.730157,South,Marriage,14,Pending
2024-08-29 12:58:45.730196,West,Caste,25,Rejected
2024-08-06 12:58:45.730249,South,Domicile,18,Issued
2024-08-25 12:58:45.730293,East,Domicile,1,Issued
2024-08-06 12:58:45.730327,South,Marriage,11,Rejected
2024-08-27 12:58:45.730382,South,Income,28,Rejected
2024-08-23 12:58:45.730442,South,Death,19,Issued
2024-08-08 12:58:45.730493,Central,Domicile,6,Rejected
2024-08-26 12:58:45.730577,Central,Domicile,22,Issued
2024-08-04 12:58:45.730627,North,Caste,29,Issued
2024-08-25 12:58:45.730703,Central,Marriage,16,Issued
2024-08-20 12:58:45.730798,East,Marriage,3,Issued
2024-08-09 12:58:45.730853,South,Income,6,Pending
2024-08-24 12:58:45.730900,South,Domicile,18,Issued
2024-08-06 12:58:45.730940,Central,Death,11,Issued
2024-08-17 12:58:45.730981,East,Death,17,Pending
2024-08-28 12:58:45.731020,East,Caste,3,Rejected
2024-08-11 12:58:45.731053,North,Death,6,Issued
2024-08-07 12:58:45.731087,Central,Death,1,Issued
2024-08-14 12:58:45.731124,Central,Marriage,11,Issued
2024-08-21 12:58:45.731156,Central,Marriage,17,Pending
2024-08-01 12:58:45.731188,South,Marriage,19,Issued
2024-08-25 12:58:45.731219,West,Death,18,Pending
2024-08-20 12:58:45.731250,North,Death,7,Rejected
2024-08-13 12:58:45.731283,East,Income,10,Issued
2024-08-12 12:58:45.731316,East,Income,24,Issued
2024-08-13 12:58:45.731350,East,Death,24,Issued
2024-08-23 12:58:45.731381,Central,Income,1,Pending
2024-08-09 12:58:45.731412,West,Income,8,Rejected
2024-08-24 12:58:45.731443,East,Marriage,16,Issued
2024-08-16 12:58:45.731473,North,Marriage,16,Issued
2024-08-15 12:58:45.731505,East,Domicile,29,Pending
2024-08-20 12:58:45.731536,West,Death,14,Issued
2024-08-30 12:58:45.731572,Central,Domicile,20,Pending
2024-08-12 12:58:45.731604,Central,Caste,27,Issued
2024-08-04 12:58:45.731637,North,Income,28,Rejected
2024-08-26 12:58:45.731682,Central,Death,22,Issued
2024-08-13 12:58:45.731726,South,Income,5,Issued
2024-08-13 12:58:45.731762,East,Birth,7,Issued
2024-08-30 12:58:45.731794,West,Marriage,11,Pending
2024-08-21 12:58:45.731830,South,Income,3,Issued
2024-08-22 12:58:45.731864,Central,Death,3,Issued
2024-08-30 12:58:45.731903,East,Domicile,10,Issued
2024-08-01 12:58:45.731940,Central,Marriage,26,Issued
2024-08-03 12:58:45.731975,East,Death,13,Issued
2024-08-24 12:58:45.732006,South,Domicile,7,Issued
2024-08-01 12:58:45.732037,South,Birth,5,Issued
2024-08-10 12:58:45.732068,East,Income,9,Pending
2024-08-27 12:58:45.732108,Central,Income,11,Pending
2024-08-26 12:58:45.732144,Central,Birth,18,Issued
2024-08-25 12:58:45.732176,East,Death,18,Issued
2024-08-14 12:58:45.732207,East,Marriage,8,Issued
2024-08-29 12:58:45.732241,West,Death,6,Issued
2024-08-08 12:58:45.732294,North,Caste,24,Pending
2024-08-08 12:58:45.732333,West,Marriage,22,Issued
2024-08-17 12:58:45.732368,West,Income,27,Pending
2024-08-25 12:58:45.732410,North,Birth,11,Issued
2024-08-13 12:58:45.732449,South,Marriage,14,Issued
2024-08-26 12:58:45.732483,West,Death,18,Pending
2024-08-23 12:58:45.732518,Central,Birth,28,Pending
2024-08-23 12:58:45.732552,Central,Income,5,Rejected
2024-08-07 12:58:45.732586,West,Marriage,28,Pending
2024-08-29 12:58:45.732619,South,Domicile,26,Issued
2024-08-11 12:58:45.732654,South,Caste,20,Pending
2024-08-22 12:58:45.732690,Central,Domicile,29,Issued
2024-08-29 12:58:45.732725,East,Income,15,Issued
2024-08-30 12:58:45.732760,Central,Income,22,Pending
2024-08-30 12:58:45.732792,South,Domicile,11,Issued
2024-08-10 12:58:45.732827,North,Marriage,22,Issued
2024-08-01 12:58:45.732863,West,Income,8,Pending
2024-08-03 12:58:45.732897,Central,Domicile,19,Rejected
2024-08-14 12:58:45.732930,East,Domicile,13,Issued
2024-08-06 12:58:45.732966,Central,Birth,21,Issued
2024-08-20 12:58:45.733000,South,Marriage,2,Issued
2024-08-26 12:58:45.733036,North,Death,19,Rejected
2024-08-27 12:58:45.733071,West,Domicile,10,Issued
2024-08-15 12:58:45.733106,North,Caste,26,Issued
2024-08-29 12:58:45.733138,North,Birth,7,Issued
2024-08-14 12:58:45.733172,South,Birth,17,Issued
2024-08-30 12:58:45.733205,West,Marriage,29,Issued
2024-08-16 12:58:45.733238,East,Caste,3,Issued
2024-08-08 12:58:45.733273,South,Birth,21,Pending
2024-08-27 12:58:45.733308,West,Caste,29,Issued
2024-08-30 12:58:45.733349,West,Death,28,Pending
2024-08-14 12:58:45.733379,East,Death,20,Issued
2024-08-17 12:58:45.733414,West,Domicile,2,Pending
2024-08-15 12:58:45.733445,North,Death,8,Issued
2024-08-27 12:58:45.733473,North,Income,27,Issued
2024-08-10 12:58:45.733504,South,Caste,23,Pending
2024-08-10 12:58:45.733535,West,Birth,5,Issued
2024-08-28 12:58:45.733573,West,Caste,9,Pending
2024-08-16 12:58:45.733638,Central,Caste,7,Pending
2024-08-18 12:58:45.733674,North,Domicile,26,Issued
2024-08-04 12:58:45.733744,Central,Death,20,Pending
2024-08-08 12:58:45.733778,South,Death,14,Rejected
2024-08-01 12:58:45.733823,North,Death,29,Issued
2024-08-14 12:58:45.733863,East,Death,6,Issued
2024-08-15 12:58:45.733896,Central,Domicile,14,Issued
2024-08-05 12:58:45.733924,West,Death,28,Issued
2024-08-23 12:58:45.733961,South,Income,4,Pending
2024-08-14 12:58:45.733996,North,Caste,11,Issued
2024-08-21 12:58:45.734032,West,Marriage,8,Issued
2024-08-24 12:58:45.734065,West,Marriage,12,Pending
2024-08-18 12:58:45.734120,West,Death,17,Pending
2024-08-28 12:58:45.734161,Central,Marriage,12,Pending
2024-08-09 12:58:45.734197,Central,Birth,28,Pending
2024-08-02 12:58:45.734236,West,Income,26,Issued
2024-08-04 12:58:45.734271,South,Marriage,23,Pending
2024-08-28 12:58:45.734309,West,Death,9,Issued
2024-08-20 12:58:45.734341,West,Death,28,Issued
2024-08-08 12:58:45.734373,South,Income,14,Issued
2024-08-23 12:58:45.734405,North,Death,18,Issued
2024-08-28 12:58:45.734436,East,Death,1,Pending
2024-08-02 12:58:45.734479,North,Domicile,9,Pending
2024-08-24 12:58:45.734515,East,Income,1,Issued
2024-08-15 12:58:45.734550,West,Caste,1,Issued
2024-08-03 12:58:45.734585,Central,Marriage,29,Issued
2024-08-09 12:58:45.734619,West,Caste,12,Issued
2024-08-25 12:58:45.734651,West,Caste,18,Pending
2024-08-21 12:58:45.734682,West,Income,25,Pending
2024-08-29 12:58:45.734709,Central,Caste,24,Pending
2024-08-01 12:58:45.734741,Central,Caste,8,Issued
2024-08-28 12:58:45.734784,North,Marriage,11,Pending
2024-08-13 12:58:45.734824,West,Domicile,4,Issued
2024-08-29 12:58:45.734859,Central,Income,29,Issued
2024-08-16 12:58:45.734887,Central,Caste,8,Issued
2024-08-17 12:58:45.734927,East,Death,26,Issued
2024-08-19 12:58:45.734965,North,Caste,4,Issued
2024-08-10 12:58:45.735012,North,Birth,7,Pending
2024-08-18 12:58:45.735045,East,Caste,2,Issued
2024-08-21 12:58:45.735075,West,Caste,29,Pending
2024-08-24 12:58:45.735105,North,Death,13,Issued
2024-08-17 12:58:45.735134,Central,Birth,13,Rejected
2024-08-15 12:58:45.735187,East,Income,9,Issued
2024-08-20 12:58:45.735225,West,Birth,18,Issued
2024-08-21 12:58:45.735257,Central,Domicile,10,Pending
2024-08-05 12:58:45.735286,Central,Death,21,Pending
2024-08-17 12:58:45.735316,North,Caste,25,Issued
2024-08-11 12:58:45.735345,East,Birth,10,Pending
2024-08-25 12:58:45.735375,Central,Marriage,4,Issued
2024-08-12 12:58:45.735403,Central,Marriage,2,Issued
2024-08-09 12:58:45.735434,West,Income,13,Pending
